DATETIME,Temperature (Fahrenheit) MAX,AVG,MIN,Precipitation (in)
01/09/2018,81,64,48,0
02/09/2018,81,65.3,48,0
03/09/2018,72,63,52,0
04/09/2018,82,59.9,39,0
05/09/2018,86,65.7,48,0
06/09/2018,86,73.8,64,0
07/09/2018,73,51.6,0,0
08/09/2018,72,56.3,46,0
09/09/2018,64,49.4,37,0
10/09/2018,70,52.9,34,0
11/09/2018,75,56.9,39,0
12/09/2018,81,63.1,45,0
13/09/2018,82,67.1,57,0
14/09/2018,84,64.6,45,0
15/09/2018,88,66.3,45,0
16/09/2018,90,68.7,48,0
17/09/2018,90,71.7,50,0
18/09/2018,91,73.2,55,0
19/09/2018,93,74.1,55,0
20/09/2018,84,68.3,52,0
21/09/2018,73,63,52,0
22/09/2018,81,67.8,55,0
23/09/2018,82,70.2,61,0
24/09/2018,86,71.4,57,0
25/09/2018,84,72.2,63,0
26/09/2018,88,71.9,54,0
27/09/2018,88,76.8,66,0
28/09/2018,88,72.3,63,0
29/09/2018,82,68.5,55,0
30/09/2018,75,63.6,54,0
